"SourcePath","Category","RegionUsage","AdapterPrefab","LicenseNote","Approved"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/cristals blue.png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/cristals.png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/dark fill.png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/dark sidesA.png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/dungeon background.png","Background","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/dungeon items 2.png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/dungeon items ferr2d .png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/dungeon items.png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/dungeon sides 2.png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/fog.png","VFX","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/green on stone2 .png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/light 1.png","VFX","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/light 2.png","VFX","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/light walls.png","VFX","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/metal detail for dungeon.png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/rocks.png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/root blur.png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
"Assets/2D Fantasy sprite bundle/Dungeon pack/Sprites/root.png","Prop","Moon|Post|Polaris","","Imported source; original protected; license record retained with project owner","False"
